date,su
20140202,105339.9306176
20140203,408596.45036252
20140204,769511.52224734
20140205,739188.42279569
20140206,716784.41820946
20140207,730689.71647849
20140208,611407.30220159
20140209,479688.13424025
20140210,749566.6986892
20140211,966836.00907416
20140212,875439.61708345
20140213,880020.23628617
20140214,983004.30166524
20140215,744772.78537258
20140216,501117.54621585
20140217,797646.1008585
20140218,915045.04027308
20140219,968615.23127532
20140220,1056015.04528734
20140221,1087698.72174726
20140222,881123.87179457
20140223,593281.1619383
20140224,1120481.95045714
20140225,1204728.14968136
20140226,1604504.75300441
20140227,1598112.54977906
20140228,2162338.53616355
20140301,139646.65587112
20140302,228881.76289774
20140303,360275.26683834
20140304,742661.31018616
20140305,857168.93664406
20140306,727421.57988372
20140307,807141.66077575
20140308,702120.09424179
20140309,442689.86570598
20140310,706937.05076057
20140311,941327.70430274
20140312,916289.23035781
20140313,932841.10052996
20140314,833118.43985807
20140315,695108.48565448
20140316,526277.88511762
20140317,712155.62387956
20140318,983057.45383183
20140319,906037.07887722
20140320,1025238.59470644
20140321,1074789.70588875
20140322,760806.62128496
20140323,539630.08603442
20140324,1020921.13705388
20140325,1163096.80035605
20140326,1390677.644264
20140327,1454708.78515186
20140328,1261563.96810329
20140329,1144744.87669284
20140330,860405.09971961
20140331,1779434.03278039
20140401,321169.39306151
20140402,483195.44391869
20140403,526856.36515287
20140404,596932.642572882
20140405,625128.46267089
20140406,343822.22420712
20140407,617503.16378552
20140408,901501.53736597
20140409,831393.85524888
20140410,725127.3676606
20140411,684239.884515
20140412,633670.97024898
20140413,452471.39411313
20140414,738959.186076247
20140415,930822.5214966
20140416,954281.68536503
20140417,900746.74385278
20140418,810501.41320734
20140419,574671.62327427
20140420,220856.20467663
20140421,665583.3832433
20140422,835766.39688777
20140423,1100175.60289731
20140424,1012593.35358189
20140425,1137036.11174781
20140426,994806.1440281
20140427,786131.93269588
20140428,1319496.32743659
20140429,1682984.75531575
20140430,2171478.67736555
20140501,219880.21688735
20140502,348733.79563034
20140503,295891.16036524
20140504,284654.45482713
20140505,524810.81425795
20140506,716900.67953855
20140507,773085.26531293
20140508,802440.07023992
20140509,916432.44074997
20140510,757093.47749443
20140511,425261.89623678
20140512,709072.77706679
20140513,824334.84214512
20140514,969631.49931827
20140515,903433.52877026
20140516,846697.37987577
20140517,611296.66995865
20140518,531712.96986948
20140519,891389.3188576
20140520,1053020.14813735
20140521,1015031.63112353
20140522,1186250.54623585
20140523,1161818.81641393
20140524,924087.93052268
20140525,505294.15925167
20140526,1116008.26544649
20140527,1376967.18596601
20140528,1315128.72194609
20140529,1437147.76154138
20140530,1477407.298815
20140531,1589787.13118044
20140601,156255.49242713
20140602,275627.46027565
20140603,376213.21721461
20140604,746196.66111162
20140605,711938.6341904
20140606,672709.90268629
20140607,545395.08885354
20140608,321124.00886688
20140609,610218.24077598
20140610,856549.84938823
20140611,796435.1626091
20140612,799768.57640244
20140613,720861.33461767
20140614,573424.3249648
20140615,439501.49454116
20140616,637557.28011112
20140617,954346.30124959
20140618,972221.00548127
20140619,964258.76363176
20140620,946480.69007019
20140621,650747.52576542
20140622,395440.17618792
20140623,880673.12018455
20140624,1172471.72895723
20140625,1229984.96345793
20140626,1312009.92714885
20140627,1296527.18293965
20140628,1252821.98122035
20140629,1041030.69921115
20140630,1727695.9207875
20140701,155200.11755067
20140702,373751.02408322
20140703,483464.90778145
20140704,517242.60213328
20140705,501515.74888407
20140706,329550.4570857
20140707,760801.65546538
20140708,884546.50536831
20140709,830013.80945693
20140710,846628.22199226
20140711,759505.87688681
20140712,687555.91546935
20140713,538039.10762626
20140714,844438.67394236
20140715,1000615.64688672
20140716,888483.15879443
20140717,862477.2162486
20140718,966936.91548783
20140719,753926.40287325
20140720,625822.5695544
20140721,812338.42145577
20140722,1126754.14938997
20140723,1041742.24489142
20140724,975158.06444982
20140725,1042800.04443446
20140726,691291.17921147
20140727,390443.95042596
20140728,606510.908367669
20140729,710131.16046274
20140730,1136322.23039568
20140731,1610527.02547893
20140801,386476.17669862
20140802,329360.81599944
20140803,163185.70404262
20140804,555183.85979518
20140805,793154.00228156
20140806,756767.76941021
20140807,929382.91066806
20140808,855864.54622978
20140809,708247.8100284
20140810,487000.3659256
20140811,891220.30641641
20140812,897561.92159193
20140813,922549.35506569
20140814,922442.4544318
20140815,548312.79962069
20140816,611951.07836106
20140817,452659.17925333
20140818,836109.71691828
20140819,906473.999714
20140820,907743.756687963
20140821,925693.60626772
20140822,927842.40571302
20140823,829062.24575921
20140824,665519.52541665
20140825,961914.95640621
20140826,1152951.33552334
20140827,1404637.99920207
20140828,1328277.28929442
20140829,1107069.76600226
20140830,1317900.84371036
20140831,1451504.20353784
20140901,241340.26987028
20140902,460782.737246585
20140903,627609.114725275
20140904,809690.95013054
20140905,800667.80043288
20140906,598685.57987388
20140907,421490.30464779
20140908,710724.4251566
20140909,896405.98626579
20140910,944881.90479035
20140911,862096.4346001
20140912,901365.30895781
20140913,734137.87171905
20140914,507200.95018311
20140915,830284.98333977
20140916,857660.37560089
20140917,926098.38624244
20140918,876158.27768248
20140919,879538.41544388
20140920,759557.86549964
20140921,510638.56017242
20140922,978296.15026446
20140923,1113737.37746939
20140924,1173762.30250557
20140925,1201342.94347416
20140926,1143123.50474258
20140927,995458.69697126
20140928,876334.3201617
20140929,1490982.67820835
20140930,1892392.40336626
20141001,286467.318941095
20141002,177077.12120091
20141003,258848.23298037
20141004,209222.60681039
20141005,65511.56262561
20141006,504663.28313196
20141007,721377.3522612
20141008,687635.734660015
20141009,728615.668879914
20141010,676781.73592234
20141011,698559.236742285
20141012,453523.59247973
20141013,908513.15600957
20141014,941570.46848443
20141015,887453.74444431
20141016,993276.947429145
20141017,1135234.7624617
20141018,442950.26601492
20141019,326738.36575647
20141020,967047.45985308
20141021,1020814.18057406
20141022,1099915.65912895
20141023,705613.06674181
20141024,913888.09021997
20141025,760138.70378319
20141026,563066.39041792
20141027,1320689.42177855
20141028,1351120.0477288
20141029,1502279.17475058
20141030,1786771.96871762
20141031,2004286.12505305
20141101,210330.04610894
20141102,312485.42733146
20141103,575885.03621767
20141104,633467.18503371
20141105,785098.25967536
20141106,890012.46107623
20141107,740493.46123155
20141108,621593.80269081
20141109,538428.29121892
20141110,725534.00235264
20141111,901009.73009349
20141112,953717.72663097
20141113,893823.88041902
20141114,960212.23364694
20141115,795319.76712145
20141116,444818.7992886
20141117,916914.10083988
20141118,1044048.32831107
20141119,1017309.36378013
20141120,960208.49627046
20141121,997237.75808484
20141122,773413.46602639
20141123,548938.99643872
20141124,1212941.59619026
20141125,1175605.55018958
20141126,1292549.54195308
20141127,1459940.01292605
20141128,1445166.15903942
20141129,1304112.233368
20141130,1669850.53566389
20141201,298256.4183941
20141202,534723.19483648
20141203,547295.17140409
20141204,595246.01386031
20141205,683773.66537897
20141206,635401.51053557
20141207,382319.57183193
20141208,761098.37994593
20141209,985006.92340702
20141210,917093.06712518
20141211,802269.12556635
20141212,879729.36821264
20141213,796283.628924355
20141214,442121.39856235
20141215,865310.72899677
20141216,1171508.43289013
20141217,1031388.86001923
20141218,1047836.67847289
20141219,1059374.88932339
20141220,795019.43198903
20141221,559451.85338149
20141222,1186116.83385707
20141223,1380363.31834177
20141224,1197515.09780244
20141225,941841.731813443
20141226,843444.78112086
20141227,845920.94138871
20141228,731624.40260425
20141229,1312942.42626446
20141230,1676887.23669671
20141231,1880019.25568877
20150101,94471.58532442
20150102,269549.15534546
20150103,476905.83214664
20150104,276638.56978312
20150105,612472.2525612
20150106,641069.75966737
20150107,864048.56222728
20150108,792600.86803584
20150109,801109.5945168
20150110,598170.47554651
20150111,418988.36666454
20150112,793436.02545403
20150113,909451.13245993
20150114,827213.25897922
20150115,704867.10926807
20150116,816877.05250422
20150117,697029.29020594
20150118,458645.34078559
20150119,832555.314083883
20150120,1000150.63478265
20150121,1074206.94627839
20150122,1146296.37035652
20150123,1072877.23725589
20150124,833642.4704064
20150125,561141.32956801
20150126,811978.022024764
20150127,1254564.91437302
20150128,1451759.8293082
20150129,1517480.23689773
20150130,1633498.70075986
20150131,2058805.01666815
20150201,151051.930371
20150202,270612.837107816
20150203,501122.84687199
20150204,558369.29564147
20150205,660760.15115488
20150206,621473.09428049
20150207,566397.14601305
20150208,366556.41571377
20150209,753418.402050946
20150210,862596.8843776
20150211,900010.32826314
20150212,938506.25021004
20150213,739251.41807892
20150214,634581.05936946
20150215,413549.13251155
20150216,873699.55715378
20150217,1088073.36718237
20150218,1019328.21984041
20150219,1016965.5041255
20150220,1009898.88761514
20150221,848123.01236862
20150222,632520.989344083
20150223,1098904.18360219
20150224,1433510.59217617
20150225,1437179.93415526
20150226,1411976.86823436
20150227,1977660.54360539
20150228,2061154.23402317
20150301,168735.80883112
20150302,262233.73923992
20150303,470928.60547677
20150304,686343.11764581
20150305,633498.9136852
20150306,486070.95699846
20150307,492686.07366049
20150308,347840.6273249
20150309,732759.91327718
20150310,835888.69528964
20150311,894759.79858512
20150312,886757.60299644
20150313,894367.25141316
20150314,714627.65829007
20150315,386578.86542465
20150316,754633.23869603
20150317,907603.42635759
20150318,878111.199244943
20150319,947019.26462874
20150320,1069599.60019906
20150321,791887.8277709
20150322,523214.33042415
20150323,1067517.93872154
20150324,1257335.23878064
20150325,1190318.95294164
20150326,1229210.20150651
20150327,1026026.29812759
20150328,1236318.96201499
20150329,889134.41347245
20150330,1717655.47539968
20150331,2130908.0400855
20150401,203740.09620989
20150402,379223.47674402
20150403,386327.51171458
20150404,302806.85310527
20150405,327928.91306835
20150406,414087.1224323
20150407,648301.94115116
20150408,876271.98573572
20150409,816307.44092097
20150410,600641.15652878
20150411,581989.92536815
20150412,266418.6530398
20150413,651031.09108756
20150414,837846.15985626
20150415,1195499.26130698
20150416,838804.76289844
20150417,783686.04180476
20150418,590251.645348327
20150419,426316.28660788
20150420,802587.21566947
20150421,1005842.36845758
20150422,1038185.17916465
20150423,1016727.93111561
20150424,959415.35696026
20150425,791449.06885343
20150426,575906.6759968
20150427,1146859.68210919
20150428,1492386.36870725
20150429,1844530.71106113
20150430,2421590.15525031
20150501,36711.47945684
20150502,209842.59626984
20150503,207499.41371964
20150504,462644.27631948
20150505,622454.582999314
20150506,679796.24066026
20150507,746462.70133757
20150508,700276.22791886
20150509,686832.4007507
20150510,408983.20966264
20150511,551253.745101434
20150512,787874.14689078
20150513,861803.03610422
20150514,1047852.59757334
20150515,922878.30869941
20150516,401540.43601786
20150517,341828.18430678
20150518,914359.406754456
20150519,898170.67463528
20150520,915001.84757434
20150521,1095271.01423613
20150522,994649.62919255
20150523,740619.85784373
20150524,414478.70678758
20150525,931455.33271554
20150526,1133581.70769096
20150527,1397568.27403518
20150528,1584005.47930052
20150529,1480040.69198019
20150530,1622806.49525801
20150531,1456249.9071176
20150601,184336.8780533
20150602,360388.71117332
20150603,464146.28547156
20150604,588902.60120507
20150605,514879.10062243
20150606,538278.5187729
20150607,346327.42630102
20150608,629405.50673364
20150609,687138.77684922
20150610,770560.51196966
20150611,790870.412418798
20150612,724165.80182666
20150613,715494.60984348
20150614,361295.40050709
20150615,765649.83786694
20150616,919104.402906
20150617,853931.28209416
20150618,829154.601826176
20150619,798807.97073736
20150620,654978.33627132
20150621,462882.45695688
20150622,927773.71770203
20150623,1148400.44027152
20150624,1362074.29171076
20150625,1482135.10086148
20150626,1288929.80451324
20150627,1029724.6342672
20150628,1278588.62760639
20150629,1748019.50978252
20150630,1862573.6897951
20150701,131307.18220378
20150702,280829.17713066
20150703,330057.54550591
20150704,446871.30843027
20150705,256749.00709452
20150706,547967.76286222
20150707,770619.95026334
20150708,664304.70856172
20150709,784521.89864414
20150710,746333.20415478
20150711,621486.00277288
20150712,433482.688549
20150713,768822.024789792
20150714,815336.79196352
20150715,623779.270057
20150716,690845.42740824
20150717,454681.66198298
20150718,190773.88581584
20150719,244406.28103164
20150720,736027.34255684
20150721,754426.98295418
20150722,916976.36555369
20150723,961220.12322524
20150724,828171.73753686
20150725,872011.10896078
20150726,563766.20652182
20150727,1116327.85249993
20150728,1385413.85566867
20150729,1494761.04266849
20150730,1879578.45086074
20150731,1355432.63790797
20150801,169568.7781166
20150802,177384.0206165
20150803,482086.11705262
20150804,682773.64171586
20150805,628003.34530042
20150806,854541.8303182
20150807,731258.4836682
20150808,563702.82166331
20150809,338067.46000999
20150810,635444.5527313
20150811,703904.05260452
20150812,896653.01566212
20150813,923212.373909044
20150814,752419.48631613
20150815,435077.24155632
20150816,14472.7252
